"STACK" "SEQ" "BIOREP" "DATE" "STRAIN" "FLUORS" "CELL" "SATELLITE" "DAPINORMMEAN" "MEAN" "TECHREP"
"1" "Stack.tif:0001-0507:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.238461538461538 3410 "1"
"2" "Stack.tif:0002-0524:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.209615384615385 3270 "1"
"3" "Stack.tif:0003-0523:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.191724137931034 2780 "1"
"4" "Stack.tif:0004-0529:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.235099337748344 3550 "1"
"5" "Stack.tif:0005-0535:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.146153846153846 2280 "1"
"6" "Stack.tif:0006-0551:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.182631578947368 3470 "1"
"7" "Stack.tif:0007-0556:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.156756756756757 2320 "1"
"8" "Stack.tif:0008-0571:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.284033613445378 3380 "1"
"9" "Stack.tif:0009-0570:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.165408805031447 2630 "1"
"10" "Stack.tif:0010-0578:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.169398907103825 3100 "1"
"11" "Stack.tif:0011-0588:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.151149425287356 2630 "1"
"12" "Stack.tif:0012-0606:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.117511520737327 2550 "1"
"13" "Stack.tif:0013-0611:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.205660377358491 3270 "1"
"14" "Stack.tif:0014-0614:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.157558139534884 2710 "1"
"15" "Stack.tif:0015-0622:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.156122448979592 3060 "1"
"16" "Stack.tif:0016-0632:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.264406779661017 3120 "1"
"17" "Stack.tif:0017-0644:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.193167701863354 3110 "1"
"18" "Stack.tif:0018-0662:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.184705882352941 3140 "1"
"19" "Stack.tif:0019-0662:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.259887005649718 4600 "1"
"20" "Stack.tif:0020-0677:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.163005780346821 2820 "1"
"21" "Stack.tif:0021-0679:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.143778801843318 3120 "1"
"22" "Stack.tif:0022-0683:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.123706896551724 2870 "1"
"23" "Stack.tif:0023-0684:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.165605095541401 2600 "1"
"24" "Stack.tif:0024-0692:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.153092783505155 2970 "1"
"25" "Stack.tif:0025-0698:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.222695035460993 3140 "1"
"26" "Stack.tif:0026-0706:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.222285714285714 3890 "1"
"27" "Stack.tif:0027-0716:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.233333333333333 3990 "1"
"28" "Stack.tif:0028-0717:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.153529411764706 2610 "1"
"29" "Stack.tif:0029-0750:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.229885057471264 4000 "1"
"30" "Stack.tif:0030-0761:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.170833333333333 2870 "1"
"31" "Stack.tif:0031-0775:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.167320261437908 2560 "1"
"32" "Stack.tif:0032-0784:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.184864864864865 3420 "1"
"33" "Stack.tif:0033-0782:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.155128205128205 2420 "1"
"34" "Stack.tif:0034-0804:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.213253012048193 3540 "1"
"35" "Stack.tif:0035-0824:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.150322580645161 2330 "1"
"36" "Stack.tif:0036-0830:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.198837209302326 3420 "1"
"37" "Stack.tif:0037-0868:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.160557768924303 4030 "1"
"38" "Stack.tif:0038-0875:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.165806451612903 2570 "1"
"39" "Stack.tif:0039-0884:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.137931034482759 2800 "1"
"40" "Stack.tif:0040-0886:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "01" "MINOR" 0.155154639175258 3010 "1"
"41" "Stack.tif:0001-0051:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.181954887218045 2420 "1"
"42" "Stack.tif:0002-0065:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.269047619047619 3390 "1"
"43" "Stack.tif:0003-0082:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.17 2550 "1"
"44" "Stack.tif:0004-0113:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.224038461538462 4660 "1"
"45" "Stack.tif:0005-0128:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.121022727272727 2130 "1"
"46" "Stack.tif:0006-0149:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.171005917159763 2890 "1"
"47" "Stack.tif:0007-0154:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.199358974358974 3110 "1"
"48" "Stack.tif:0008-0179:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.224647887323944 3190 "1"
"49" "Stack.tif:0009-0198:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.249333333333333 3740 "1"
"50" "Stack.tif:0010-0201:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.188135593220339 3330 "1"
"51" "Stack.tif:0011-0242:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.147619047619048 3100 "1"
"52" "Stack.tif:0012-0258:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.252980132450331 3820 "1"
"53" "Stack.tif:0013-0270:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.193333333333333 2900 "1"
"54" "Stack.tif:0014-0273:FISH" "SeqBSeqC" "1" "11.16.19" "CAST" "B-FITC-C-Txred" "02" "MINOR" 0.192715231788079 2910 "1"
