"STRAIN" "SAT" "mean" "median"
"1" "129P2/OlaHsd" "MAJOR" 5.51999032258408 5.56767878887127
"2" "129P2/OlaHsd" "MINOR" 4.50804719188251 4.52881740345554
"3" "129S1/SvImJ" "MAJOR" 5.85368756625038 5.84444642229719
"4" "129S1/SvImJ" "MINOR" 4.79730469755477 4.81471703562543
"5" "129S5SvEvBrd" "MAJOR" 5.49182890893255 5.65923787508873
"6" "129S5SvEvBrd" "MINOR" 4.28396661768899 4.43586773590637
"7" "A/J" "MAJOR" 5.39820015358939 5.37305683955375
"8" "A/J" "MINOR" 4.71010873538752 4.70743378079007
"9" "C3H/HeJ" "MAJOR" 5.62410300941809 5.61481254249554
"10" "C3H/HeJ" "MINOR" 4.77518297710236 4.79672212390355
"11" "C57BL/6NJ" "MAJOR" 5.62798368885745 5.63449629465794
"12" "C57BL/6NJ" "MINOR" 4.64104753511746 4.61917572619743
"13" "Caroli/EiJ" "MAJOR" 0.699782129565221 0.638622883027255
"14" "Caroli/EiJ" "MINOR" 0.323882098984779 0.228822582659439
"15" "CAST/EiJ" "MAJOR" 5.63678681867759 5.63076886125891
"16" "CAST/EiJ" "MINOR" 4.61917010903269 4.66245948053878
"17" "DBA/2J" "MAJOR" 5.75519867947849 5.75668392808763
"18" "DBA/2J" "MINOR" 4.91877667175388 4.92279726124579
"19" "FVB/NJ" "MAJOR" 5.33844105600003 5.48097635040897
"20" "FVB/NJ" "MINOR" 4.07422066836994 4.03510219145724
"21" "LEWES/EiJ" "MAJOR" 5.64896194559089 5.65151535075238
"22" "LEWES/EiJ" "MINOR" 5.12528073268322 5.10080555741652
"23" "MOLF/EiJ" "MAJOR" 5.35092250908542 5.39215153597848
"24" "MOLF/EiJ" "MINOR" 4.80369671632299 4.85037732409488
"25" "Pahari/EiJ" "MAJOR" 0.213904625297183 0.0389575164916958
"26" "Pahari/EiJ" "MINOR" 0.284369035458569 0.250220606811231
"27" "PWK/PhJ" "MAJOR" 5.59635836913192 5.60262438991263
"28" "PWK/PhJ" "MINOR" 5.27424772991608 5.41533497563418
"29" "SPRET/EiJ" "MAJOR" 2.92448852647869 2.7966608747168
"30" "SPRET/EiJ" "MINOR" 5.3638248913072 5.15744864481707
"31" "Wild M.m.castaneus India" "MAJOR" 4.84840793151306 4.84796012803496
"32" "Wild M.m.castaneus India" "MINOR" 4.55566967507713 4.57104936697349
"33" "Wild M.m.domesticus France" "MAJOR" 4.35448976949928 4.38639876374634
"34" "Wild M.m.domesticus France" "MINOR" 3.83793792416176 3.83387935568087
"35" "Wild M.m.domesticus Germany" "MAJOR" 4.2869807497718 4.31982144052254
"36" "Wild M.m.domesticus Germany" "MINOR" 3.78231078726303 3.78001109725412
"37" "Wild M.m.domesticus Heligoland" "MAJOR" 4.55442706506272 4.55953967180163
"38" "Wild M.m.domesticus Heligoland" "MINOR" 3.91633422610966 3.91192273098656
"39" "Wild M.m.domesticus Iran" "MAJOR" 4.35284776791695 4.36788505054628
"40" "Wild M.m.domesticus Iran" "MINOR" 3.85112809736871 3.86567163680202
"41" "Wild M.m.musculus Afghanistan" "MAJOR" 4.44042603496057 4.44927207084731
"42" "Wild M.m.musculus Afghanistan" "MINOR" 3.6480167780078 3.64068655555154
"43" "Wild M.m.musculus Czech" "MAJOR" 4.35027412696044 4.34815460635616
"44" "Wild M.m.musculus Czech" "MINOR" 3.5187579350458 3.46219238300118
"45" "Wild M.m.musculus Kazhakstan" "MAJOR" 4.30858627352803 4.30649740322608
"46" "Wild M.m.musculus Kazhakstan" "MINOR" 3.60128137571178 3.62283299580506
"47" "Wild Mus spretus Spain" "MAJOR" 2.67721560325149 3.05603605378244
"48" "Wild Mus spretus Spain" "MINOR" 3.5363364450518 3.50912109769139
"49" "WSB/EiJ" "MAJOR" 5.73016684088297 5.7319502598485
"50" "WSB/EiJ" "MINOR" 4.78905044596036 4.77105724980473
"51" "ZALENDE/EiJ" "MAJOR" 5.44928702592966 5.63474778592127
"52" "ZALENDE/EiJ" "MINOR" 3.25526648214313 3.12049263992263
