"PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "PC11" "PC12" "PC13" "PC14" "PC15" "PC16" "PC17" "PC18" "PC19" "PC20" "PC21" "PC22" "PC23" "PC24" "PC25" "PC26" "PC27" "PC28" "PC29" "PC30" "PC31" "PC32" "PC33" "PC34" "PC35" "PC36" "PC37" "PC38" "PC39" "PC40" "PC41" "PC42" "PC43" "PC44" "PC45" "PC46" "PC47" "PC48" "PC49" "PC50" "PC51" "PC52" "PC53" "PC54" "PC55" "PC56" "PC57" "PC58" "PC59" "PC60" "PC61" "PC62" "PC63" "PC64" "PC65" "PC66" "PC67" "PC68" "PC69" "PC70" "PC71" "PC72" "PC73" "PC74" "PC75" "PC76" "PC77" "PC78" "PC79" "PC80" "PC81" "PC82" "PC83" "PC84" "PC85" "PC86" "SAMPLE" "STRAIN" "SUBSPECIES"
"129P2/OlaHsd P2 NO PCR" -11.2140046145442 2.01963429329245 1.91573763619061 -4.94372926118454 1.42838017377732 -1.88110513056496 -0.548106447146295 -0.559091912274284 -0.302715706080495 -0.332254990284038 0.303941323474346 -0.0929552684007623 0.294587123431876 -0.186542310555287 0.132470394430762 -0.240916813017079 0.113446380371285 -0.123299332451187 0.0424042668910446 0.0355593613016016 0.00210732143385202 -0.255636706702871 0.0319572853096386 0.0618217250403204 0.0861669110386479 0.0968884900524545 -0.0477653947020261 0.0491474867063594 -0.0751484673677642 0.03345369079413 -0.0432068914707205 0.0763381435500949 -0.0773482598563704 0.00914468192890154 -0.0374483088471281 0.0133860052258175 -0.013457004547006 0.0116005556371741 -0.000269287235840799 -0.000870291854076212 -0.0130652053602821 0.00484622907007909 0.00662220211168071 -0.00267516425378578 -0.00357247248258589 -0.00567114420130896 -0.00368768840964911 0.00366680954034742 0.0024221242833817 5.63202290378107e-06 0.0024720905718794 0.000537476782879112 0.00197881027730286 -6.66268711117112e-05 -0.000299934871575873 -0.00136686663386163 -0.000508747163532824 -0.000164592271061384 -0.00156649296804014 -0.00156178097735407 -0.000369465999535677 -0.000876764935707025 0.000435055704474894 0.000142890596422207 0.00017472435462598 0.000794176548325038 0.00020792770678458 0.000223901731522461 0.000189695029196546 0.000463848383238451 0.000255497673202425 3.41080258603703e-05 0.000207716399929017 0.000133593010646875 0.000424843473258343 0.000328170129852298 0.000387523257187903 0.00014529960348302 0.00013268818039754 0.000344482483079475 0.000176679044195681 5.961290439245e-05 0.000174093851476625 8.17696848088364e-06 1.90277910793834e-05 4.51396732492615e-15 "129P2/OlaHsd" "Inbred" "domesticus"
"129P2/OlaHsd P2 SLX300DSS" -21.9027383144124 3.5266675627375 2.43069582091129 3.8557564752109 -2.90311929789323 2.47066460067982 -2.36751099401919 -0.9942174590888 0.425228255686001 -0.47962606080249 -0.0620209318270857 -0.496198383115961 -0.0412551100420748 0.0494065815374522 0.126073992576143 0.316681801528715 -0.163570711135532 0.137161926062766 0.0439589682830901 -0.12034833410337 -0.0888325663799193 -0.0475286735687538 0.0737973261372733 0.0792761341294195 0.0124907510675925 0.125528742691918 0.0630157443337844 0.075142881198713 -0.0124146963457391 0.0231741712382244 -0.0195423246777629 -0.0219779831191832 0.0208207340235036 -0.00931977725937429 -0.0287101764456269 -0.0207264449365374 0.0186100973444564 0.00872720076152547 0.0147557902011495 0.0155070781926039 0.00745131511806516 -0.0245317975394514 -0.00581913141525457 -0.0094792427004701 0.0248124837621687 -0.00152832300864659 0.0141323709740242 0.00421714086792946 -0.00139685628854834 -0.00728886456667651 0.00332127430078845 0.00467788193621954 -0.0052534574225274 -0.00264734436481754 0.00275659792399699 0.0028293262740291 -0.00100259618276901 -0.00155046378156033 -0.000402331322645304 -0.000851834620071482 -6.01389075326467e-05 0.0014086477621136 0.000126099141692183 0.00163758030635671 0.000934741940968583 -0.000389435626500662 0.00195499111242399 -0.00011163311689573 0.00185409121028889 0.000176349690296531 -0.00229291143735743 0.000294311123629231 -5.6425498027488e-05 -0.00102546554426266 -0.000492395830278864 -0.000622396054438306 0.000290518989160037 -0.000513789663113918 0.00028287827010121 -6.06952614429512e-05 0.000176317857787264 -0.000218984139453394 0.000270106125130983 0.000259945032480873 -7.22448418295388e-05 4.9547903757316e-15 "129P2/OlaHsd" "Inbred" "domesticus"
"129P2/OlaHsd P2 SLX500DSS" -25.0160921802647 5.12475089209114 1.31031914616682 4.12196917003402 0.835611933176417 -1.34241882599099 -1.53415739573145 0.019566486855698 0.697952710328065 -0.720676062163088 -0.146936765461975 -2.08733118939659 0.413387938480699 0.27796287283148 -0.838010001232775 0.11641610163616 0.272316475227951 0.051740355595412 0.061217723128852 0.0722675585575521 0.112131011365046 -0.0241904835077204 -0.0745697716438894 -0.116781477664842 -0.0113288950786466 0.0369235862603581 -0.049943923996758 -0.00270543413620286 0.0102113842739249 0.0145712477876383 0.0300918678705126 -0.0308807469596948 -0.01126459563249 0.0209163184730347 -0.00478328679361454 0.000209032378075069 -0.0118661536821185 -0.00865069506354122 -0.0154107319297668 0.00162617331760053 -0.00367971459379065 0.00243524481174269 0.00204422300997483 -0.00187443005527325 -0.00250559553618777 -0.000862293544159462 -0.00673393113054963 0.0029732390202623 0.00177364301981587 -0.000424792639300781 0.00255573784562116 -0.0024988579557276 -8.45794358251078e-05 0.000920120081616734 -0.00130304872286375 0.000384726534865611 -5.2451210600013e-05 -0.00162836562686445 0.00119717169794038 -0.000848310857553212 -0.000492579496522341 -0.000500342901495288 1.39126466336274e-05 0.000191944373121655 -0.000438855237827612 -9.87287899448617e-05 5.21297192709121e-05 -6.26434697196154e-06 -0.00019189093480455 0.00049400822748524 0.000192432038362637 -2.72348802269745e-05 0.000397149646721923 0.000100725875284221 7.45125905332381e-05 0.000293620011119171 0.000165480224015035 0.000333537148941063 0.00014996188255502 0.000168082556606738 0.000138556552877541 5.98414611931067e-05 -4.30850194338937e-05 -6.66331517744677e-05 4.57870841370353e-05 5.6662709463709e-15 "129P2/OlaHsd" "Inbred" "domesticus"
"129P2/OlaHsd SLX500HC" -5.49673867387795 0.630663763009145 -0.200618723596234 -1.82753006084899 -3.46341086864807 1.74917034023488 3.72583106896428 -2.01013698214784 -0.488420235208435 0.399097074354677 0.995871233934379 -0.905556771333611 0.642359509901661 -0.489881659366909 0.0841041583496738 -0.0972352779186185 0.179285575153276 -0.210526289333646 0.0639406541145627 0.369283885996111 -0.386521533133171 0.12161467238907 -0.0481640611649891 0.17657227004412 -0.0493903537109719 -0.0151964353570824 0.0058516283686375 -0.065749159202367 0.0101775330148381 -0.0155593238246503 -0.002033136431504 0.00321968266208086 0.0095219257732101 0.014277456474569 -0.00534246886914708 0.00673653034914532 0.000439400610863249 0.00292718797679085 -0.000789210932920528 0.00315267258099218 0.00507582333413513 -0.00388272562388193 0.0011435543439533 -6.20567723640253e-05 0.00179701541434385 0.00252825561889606 0.000691753380343721 -0.00215558240726023 -0.00119431399897605 0.00105235806807464 -0.00131546864689906 0.000631810109050061 -0.000550403397749099 6.30274705889868e-05 -0.000872661261965542 0.000343056943675261 -0.000445183956322544 0.000113129094466204 0.000503663470991292 -0.000169853313339583 0.000448717995698557 0.00057699449160045 0.000121892108535405 -0.000322732345578488 0.00043603574920149 -0.000375665401818826 0.000229378831768556 -0.000454210353158301 -9.59480007869603e-05 6.15969810742686e-05 -1.39887336232488e-05 -6.06365186385751e-05 5.16833870361256e-05 8.38516400323457e-06 -0.000315822495994815 -0.000292681068416594 -8.50559451546622e-06 -5.40595672224211e-07 1.27562834335447e-06 -4.03685796101012e-05 -6.67405099473049e-05 -0.000130370469572081 6.35102107127228e-05 1.40943942806483e-05 -1.66000832957161e-05 5.41764983569282e-15 "129P2/OlaHsd" "Inbred" "domesticus"
"129S1/SvImJ LB3888089" -22.9664145268386 3.38383240706873 -4.68681019536949 -3.19726176908465 -1.49399269885542 -1.78292395108235 -1.17281944088637 1.6922403937846 0.732273923505594 -0.887343354325852 0.135931251916617 0.34650690015941 -0.0933465840421891 0.0274854322561268 -0.120980087128701 0.0756547740002538 -0.0628899848443085 -0.000404365796118123 0.0471322420151835 0.028678817594655 -0.0223833910435035 0.0614349786260567 0.0523961736146035 -0.0198885033369111 -0.0244555399930616 0.0247670863272283 -0.0237548434575137 0.0054721336742719 -0.0144798206982897 -0.0288064416480867 0.0209535383196046 0.0189139620626429 0.00933676070792063 0.011040106818705 -0.00562131534150009 -0.0127686075587726 0.0101200809708496 -0.000343927631638399 0.00232541508384599 -0.00976893844489363 0.00752944859202555 0.00176977035391843 -0.00513144556799313 -8.95241405324662e-05 -0.00330295251922889 -0.000278445823980385 0.00572353820568756 -0.00176315777970602 0.000321108263422978 0.000536211856544931 -0.00473978437245471 0.00402584070348011 -0.000232549820976364 -0.00147761736419749 -0.00184482350088762 0.00470842187029352 0.00159499188797315 -0.00276941535289079 0.004517141936596 -0.00230819680747369 0.0010466768341252 -0.00134627408477207 -0.00178645784514979 0.00145231124801644 -0.00246391173636463 0.00380429656694075 0.00197721286849085 -0.00399989098227979 -0.00205690796347268 -0.0026273762831683 0.00169374110770665 0.00161079765808862 0.00389412569615195 0.00243263216111967 -0.00057053145558059 -0.000951811268894291 0.00191431635070779 0.00128211470689291 0.000959803130376081 7.93301596546823e-05 0.00108004602142519 -0.000858594744665772 0.00309613124468333 -0.00304222094927169 0.00298603589400941 5.37066322404273e-15 "129S1/SvImJ" "Inbred" "domesticus"
"129S1/SvImJ LB4505687" -23.1154649837268 3.42780709999225 -4.65742345599544 -3.20904399157391 -1.50847780498354 -1.76902191019892 -1.16726403126399 1.70758528848378 0.888836151436737 -0.869637741421721 0.215184040434759 0.347882305703882 -0.0800208351199306 -0.0467267219614351 -0.119547569321204 0.0375636226714423 -0.0767972831203795 0.0195006033479746 0.0896166980034751 -0.00427255210310527 -0.00142462185922607 0.00839092092849891 -0.0152378499417242 0.00658409489805276 -0.0346223161715474 -0.00319039085675347 -0.0670106543792549 0.00364130638941225 -0.00640645440519535 -0.00862569678092839 0.024563345401575 0.0165953402378409 0.00844374231454389 0.0104718601803544 -0.0152660524663365 -0.0116014361666909 0.0048425026407709 -0.0132277583122292 0.00576907771966126 0.00545005482361568 0.00893841170944371 -0.00375787950703674 0.00599856227368925 0.0124069617555599 -0.000129671104474799 -0.00833960056932009 0.0111137136675222 -0.00153456959711476 1.81264892692538e-05 -0.00311214663953875 -0.00745838138593228 0.000751933187309681 0.00244462500762763 -0.00247198488835245 -0.00136031513930198 -0.00153409711471052 -0.00235223605368836 0.00101480018688317 0.00655428192353838 -0.00213905865521874 -0.00163185230998042 0.00370800040121035 -0.00200962001731422 0.000691130070837952 -0.00455080064320412 0.00124787340058723 -0.00088115476793883 -0.00126635588749388 -0.00275288187752198 -0.00244773198834722 -0.000348795386998493 0.000301801808594262 0.000742421458822927 -0.00314032396112469 0.000485690426781826 0.000289591724651964 0.00014977642536975 0.00295815046897032 -0.0033804291219114 -0.0037197855461895 -0.00169109224956016 -0.000209370940549901 -0.00181518589281635 0.00209120241138842 -0.00246059116064242 5.63631986135599e-15 "129S1/SvImJ" "Inbred" "domesticus"
"129S5SvEvBrd NO PCR" -5.13825218257615 1.1840189858548 5.27039030883192 -2.19538413356191 -2.67294336319475 0.718925619403933 -1.3449089845564 1.57737568055193 -1.20876420047281 -0.398614504697471 0.220316129209182 -0.554452200572562 0.162655434013922 -0.407129045008255 0.407585032255656 -0.296530868267458 0.197591985957018 -0.290544954983235 -0.157058651689946 0.0508124210687155 0.305673325044641 0.0886809057600269 0.0365308616733829 -0.0446998037110681 0.0337873364774634 0.0334092705870738 -0.0749172473171224 0.00832119504137177 -0.0676332750460556 -0.00353719444516339 0.00689677972995812 -0.0031967421778135 0.0667662826332784 -0.0205035088314517 0.0441157361228711 0.0302424416937675 0.0237417966420071 0.0101970974293829 0.0171893292820927 0.00146157983128424 -0.00779771821999485 -0.00940567344508102 0.00188862229477604 -0.00418059292701147 0.00659808971082222 0.00396700069997589 0.00380629156753476 0.000260915633495229 0.000229113590616253 0.00139746056651163 -0.0061214113654112 -0.00181268146247096 0.00525646644800685 -0.00103662879924041 0.00012563706677527 0.00201334014034484 -0.000632121019204247 0.000184224328302489 3.53154261724377e-05 0.00063455964485671 -1.55139008769939e-05 0.00138578208652848 0.00121222011344919 -5.80933090135214e-05 0.000245557906607212 0.000342412350147822 0.000471530997603367 -0.000127558957275033 -0.000906493043048731 0.000142438488441621 0.000288011186552145 -0.000246486694808981 0.000189912086107021 -0.000148602737949908 -0.000367221761619203 0.000370224974409701 -0.000184800513591384 -0.000375875775008383 0.000282214104753671 -0.000204912784671001 -0.000111690808099857 -0.000167847719492694 -0.000153794807733877 -9.26569791612111e-06 -9.26232075408461e-05 5.29979705954364e-15 "129S5SvEvBrd" "Inbred" "domesticus"
"129S5SvEvBrd SLX300DSS" -19.7279226221634 2.36754120817894 2.05362712771099 -1.83807719251485 1.77418926251257 6.90185435021062 1.90645584022933 -2.2782749848263 0.109660674364115 0.0508504733430618 -0.321812214209262 -0.37587980919645 0.209325198511555 0.459475259589366 -0.0431753646503668 0.0532848102960778 0.0567192176675788 0.0208523192550669 -0.149040756340368 -0.132255598533444 -0.113548917500476 0.0853866749768527 0.218125460177667 -0.00792907319487879 0.0453677188715153 0.0111041108315451 -0.043585224733871 0.0823529222770248 0.067514655472423 -0.0194021819682895 -0.00773403819926877 0.0496313999170831 0.0352546225514093 -0.0114167621427727 0.000151478522844606 -0.017094753548237 0.016642782769614 -0.0163638773600193 -0.00526919043329628 -0.00635902085121128 -0.00612743976932293 0.0230917013327643 0.00186908046043495 0.00703951998553056 -0.0137618082744727 0.00430713218026203 -0.00468399108676039 -0.00187606026514361 -0.00507141854061403 0.00606366274350797 0.00270994965747758 0.000921834980481376 0.00364316300248308 -5.15103825422317e-05 0.000835981782438044 -0.00247425937289191 -0.00199420247152598 0.00493904670944456 -0.00144602558457904 0.00175193334811084 -0.000593624353557797 -0.000587323556976616 -0.000641602742684774 -0.000761146585634506 -0.000836651417792838 -0.000454919665806852 -0.000407169630763548 0.000944108948075289 -0.000724744658162438 -0.00152892052913107 -0.000150384592745979 8.49035272734154e-05 -0.00066587752134835 0.000299752932380721 0.000210423579594365 0.000762448262349537 -0.000405226801114608 -0.000360497062765852 -0.000821770974493076 -0.000211029203092948 -0.000313672348149112 0.000111072156941624 -0.00023558962891399 2.84864952506675e-05 1.75797803878565e-05 5.31513852028431e-15 "129S5SvEvBrd" "Inbred" "domesticus"
"129S5SvEvBrd SLX500DSS" -20.0931759613882 3.25166190793544 1.31718264264142 -5.48158297904056 4.75633650399797 2.32941679513026 -0.00764758631008777 1.61600440151239 0.843778835318741 -0.765736239875646 0.0924410505290486 -1.06294121665632 0.540257718101739 0.0162310977325136 0.394138305325044 -0.0443808248511005 -0.282237870096132 0.250179249968094 0.261765607529284 -0.378287376559977 0.0390452996022598 -0.00820474632569024 0.0471176638952538 0.0291709462371245 0.0146742642026724 -0.120068986030028 0.0451491128417337 -0.128516438279801 -0.0102540360268664 0.00470396398695058 -0.0215067180176698 -0.0080027729117296 -0.0196626418521533 0.000863285424373792 0.0159345591508687 0.00610435461383483 -0.00284224033904271 0.00357887894728166 0.00566004579787031 -0.00594520172100639 0.00314790498579721 -0.00656567963191099 -0.000671937681320753 -0.00106214323390811 0.00112089624491051 0.00125417596139352 0.00232661381228544 -0.00114763384728883 0.000681090991823213 0.000361070963786805 -0.0027854297623861 -8.64149645454595e-05 -0.00165153566821934 0.000423261413872888 -1.65611211218651e-05 -8.80914017498119e-06 0.000328801876487885 -0.000904549453487652 0.000290969600951956 -0.000178561674150431 0.000944013411613354 -0.000379499069812166 8.8480265038998e-05 3.35861797310615e-05 -5.93366076705313e-05 0.000392821748733771 -0.000573513178134303 4.23619996046314e-05 0.000134799093073146 0.000156027175759666 0.000305740482288705 4.85587599445501e-05 4.37219826472585e-05 1.74271883058693e-05 -2.24356488059828e-05 -0.00035401157638314 -3.26171616107647e-07 0.00017238035958071 0.000126591777461734 -1.14645812758783e-05 6.43932804080081e-05 -4.74516426699215e-05 3.62810131681844e-05 -3.19214060318104e-05 1.67125286626535e-05 6.43604093630845e-15 "129S5SvEvBrd" "Inbred" "domesticus"
"A/J LB4505627" -10.7083413320732 1.42239202351319 -1.32902761501538 -1.69952947235876 -0.32752269585952 -1.43583801494665 4.68887893788957 -1.05287160590271 -0.445889154269942 0.299375562123266 0.572824233808578 0.0397145927748134 0.146284090946233 -0.321642514650714 0.165443944039627 -0.202177889804471 0.00461200609917988 -0.191775843878858 -0.0696635624582247 -0.0703525649675197 0.123592305790372 -0.070205189788509 0.0525769344358103 -0.0812381776109857 -0.090230574837596 -0.00391866119053422 0.0173885351691706 0.0181441324589497 0.0662607056250457 0.0166277988855493 0.0118509305586243 -0.0153310664588833 0.0159774732510777 0.00484729067536523 -0.0301654941584756 -0.00860463251459485 -0.0135987417166199 -0.00326502609083119 -0.00411815749107032 -0.00187924486879702 0.00724010114786766 -0.00509386683460374 0.000451371586761601 0.00189065726999151 0.00237150776417888 -0.00136405424255522 0.00436395510648038 0.00612313212661904 -0.000286459790038311 -0.00617800430621848 0.00813473135046838 -0.0101961089691537 -0.00154673756333388 -0.00141597525711783 0.00787222771119374 -0.00438803128640699 0.00829103038303281 -0.00472703493162229 -0.00138182432734016 0.00597986635990116 0.00113334393630352 -0.00708797880347338 0.00227151168779824 0.00135256254307645 0.00411953407572135 0.00093225805301828 -0.00206788230252209 -0.00176090708350425 0.00316673171088545 -0.000951896785407905 0.00198470033505873 0.0024891576460884 -0.000911172401970759 -0.000510027249092789 0.00074734288259754 -0.0012028086718697 0.000422155312215872 0.000295660409163711 -0.000603576611548585 -0.00119993127371182 -0.00135097496001807 -0.00344047128539599 -0.00116105252328867 -0.000966955794022897 -4.4494815564108e-05 4.79038466880133e-15 "A/J" "Inbred" "domesticus"
