"PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "PC11" "PC12" "PC13" "PC14" "PC15" "PC16" "PC17" "PC18" "PC19" "PC20" "PC21" "PC22" "PC23" "PC24" "PC25" "PC26" "PC27" "PC28" "PC29" "PC30" "PC31" "PC32" "PC33" "PC34" "PC35" "PC36" "PC37" "PC38" "PC39" "PC40" "PC41" "PC42" "PC43" "PC44" "PC45" "PC46" "PC47" "PC48" "PC49" "PC50" "PC51" "PC52" "PC53" "PC54" "PC55" "PC56" "PC57" "PC58" "PC59" "PC60" "PC61" "PC62" "PC63" "PC64" "PC65" "PC66" "PC67" "PC68" "PC69" "PC70" "PC71" "PC72" "PC73" "PC74" "PC75" "PC76" "PC77" "PC78" "PC79" "PC80" "PC81" "PC82" "PC83" "PC84" "PC85" "PC86" "SAMPLE" "STRAIN" "SUBSPECIES"
"129P2/OlaHsd P2 NO PCR" -2.35177226387745 -0.569302302638366 -0.954663641579803 -0.899523251804094 0.0739897485716439 -0.207272109158832 -0.133513066085034 0.0521685912292879 0.0406986914170855 -0.164709219214193 0.162734882167445 -0.0513730245658586 0.0856638156019205 -0.181315252419712 0.0462404534244913 -0.0343576100196106 0.0423369348563475 -0.0390284295175352 0.00409135894768773 0.0031828119284194 0.030387684633568 -0.0177690737837987 0.0333311685975402 -0.0304601857995606 0.014323546226309 -0.00685953444992268 0.0102293655579279 -0.03961429903882 0.00937221504074099 -0.00506399834045093 0.00260336198409088 -0.00644510015895381 0.00225537068024295 -0.0239904638573708 0.00344091281837328 -0.0038887900162385 -0.00794617629780874 0.00674416191922228 -0.00545586716362252 -0.00089522651417962 0.0109249797506349 0.00428856186874554 -0.00165032839141646 -0.00261712391222392 0.00338053844033638 0.00198424937540633 0.00219332213221292 0.00272738279482278 0.000409220888627636 -9.76157252918386e-05 -0.000418088752403527 -0.000188779124239824 -0.0015178383215677 -0.000325471234343274 -0.00039811214300306 -0.00179708380590949 -0.00147288492640197 0.00124519960028032 0.00160842498385006 0.000155423741202591 0.00145282594054206 0.000286984724162184 0.000165698955022384 2.26147841422381e-05 0.000186362663949533 0.000140422494039976 0.00032345805461982 0.000484495777487918 -0.000375744218664897 -6.57552941842573e-05 -3.79963543248318e-06 -4.91511186367357e-05 -0.000172304368614973 -0.000119417257207428 -6.36148234983209e-05 -0.000432655893935364 -0.00030884501419295 -7.44463381505995e-05 -7.56235545315999e-05 -1.37132811426175e-05 -0.000236964120935408 -8.09074404009238e-06 -4.92530195458489e-05 -3.54086302196091e-05 -4.12328992288754e-05 -2.77707544460437e-15 "129P2/OlaHsd" "Inbred" "domesticus"
"129P2/OlaHsd P2 SLX300DSS" -10.9435189382258 -0.314016804634742 -0.542020742173125 -0.751889562505238 -0.312034759881458 -0.0149047096235088 -0.0749766159609727 0.0300662257481441 -0.137108270526085 -0.0399713161803753 -0.0250928118488374 0.0542945388302271 0.0898631875405497 -0.00245749318634738 -0.0083402339994068 -0.0040606347496875 -0.064711639501156 0.00991451586593164 -0.0418972554089892 -4.83349257870015e-06 0.0124922781579074 -0.0108168379197901 0.00626819899077853 -0.0277622353647864 -0.00839285548214314 -0.00773869489367691 -0.00796326938580182 0.0180577634921613 -0.00124884443355597 0.0128040646634767 -0.0273105774795024 -0.00720022997496799 0.0219505382478802 0.00830061114023903 -0.00865578186517158 0.00302861615854223 -0.00228563677923725 0.0121289135314676 -0.0133517785955449 -0.00497982058927522 -0.000255717137839367 0.00553762484261119 -0.00439836103929172 0.00750082535973431 -0.00318422506202046 0.00456331812137505 -0.0025554797225077 -0.00461964802480913 0.000745543868986942 -0.000194393395377322 0.00038129785908504 0.000440756516205586 -0.00442300114362105 0.000477374781507611 0.00218801785110696 0.000775889373145704 0.00290140247700069 -0.00217176743180891 -0.00169293832380316 -0.00149586046725844 -0.000593187058930085 -0.000568772485466757 -0.0003372685141627 -0.000982531600693289 -1.89566422550552e-05 0.000279465809931555 -0.00164132195429758 0.000924260035438941 7.55108744594987e-05 -0.00027405472873118 0.000343173505437958 -0.000308158410005213 0.000212664341567012 0.000887412986015983 -0.00111245029002827 6.46131071457019e-05 0.00027500227928672 0.000452964734015036 -0.000156298813899437 -6.14413301681022e-05 0.000529449943693541 0.00028178509516474 -2.26282336369121e-05 8.04914322612635e-05 -5.48239924649807e-06 -9.71445146547012e-16 "129P2/OlaHsd" "Inbred" "domesticus"
"129P2/OlaHsd P2 SLX500DSS" -11.9923464219986 -0.27345210425776 -0.445883927933022 -0.756744691635059 -0.619589984890072 -0.309770565193974 -0.275999323806137 0.647544409895277 -0.361754355720568 -0.154022322611343 -0.00227291860818385 0.0564745272354819 -0.00590428615323717 0.0763062191597788 -0.158785925142204 -0.0621610917289445 -0.0700585579898683 -0.0602319271670447 -0.0402365401990595 0.0331964436411708 -0.00135386609237229 0.0211132469656197 -0.00524726243356171 -0.0118081128229215 -0.00458073740875459 -0.0139783623793717 0.00327845974786695 0.00991660218969667 0.00620162702075219 0.00281541772726272 0.00892259326571637 -0.00200154623558622 0.00367818285614512 -0.00219911767204879 0.00380363661511318 -0.00229533567959258 -0.00225387724757196 -0.00960543696926655 0.00130467986268515 -0.0028241539359618 -0.00161757046355888 -0.0029678936946915 0.00405759283178665 -0.00517710245766489 0.00209432199700301 -0.00202171914019264 0.000381645879651776 6.61462134719376e-05 -0.000452177527853624 -0.000288886532086606 0.000956870763817811 -0.00143886385764139 0.00253678010327625 0.00178824077691325 -0.000567176280000165 -0.000641137911511658 -0.00205910291630995 0.000855207621377207 0.000989772700724062 0.000791972231168933 0.000805266624584884 0.00128329403016772 -0.000397577523628651 0.000947981084179268 -0.000172299537857655 -0.000179450038193533 0.000630840727371462 -0.000192119627977163 0.000121996237487931 8.75773648597148e-05 0.000318412549898957 0.000116140986866867 -0.000302425981884083 -0.000221303895913167 5.29099295053159e-05 1.77653445738498e-05 -0.000103531486191362 -8.59964828555035e-05 9.81335911783773e-05 0.000117674667275623 -0.000144411688281623 -0.000138644578161574 -6.15669266391256e-07 -3.22727494631719e-05 -4.36206433516995e-06 -3.10862446895044e-15 "129P2/OlaHsd" "Inbred" "domesticus"
"129P2/OlaHsd SLX500HC" 0.749036051784542 -1.03611102406637 -1.0311725806175 -0.791541106153859 0.0985196460121902 -0.508764100801427 -0.297786836370298 0.317346466090927 0.165859983200367 -0.102072281782106 0.16467233168691 -0.138733659463672 -0.125249812865268 -0.149159631815411 -0.00877099097520271 0.0698697345875992 0.146397472215372 0.0333095624121128 -0.0347904764860229 0.0419407804378778 -0.0279148630078957 0.030535233872629 -0.020355877289083 0.0240147068138074 0.00605516988256181 -0.00779970358984619 -0.0140212848911146 0.00964946212689519 -0.016238188407537 0.000986053385571518 -0.000537212661225805 -6.47372538261481e-05 0.0122753874988731 0.00799725462143021 -0.0110982458039986 0.00389736921051313 0.00603060332669911 -0.00108385483413134 0.00351403527092453 0.00174634805792059 -0.000621404891007558 0.00316590095679168 0.00191015014827596 0.00170539295065719 -9.76626527049006e-05 -0.000189402052456012 -0.00254392534104907 -0.000424792601713381 -7.25737473243859e-05 0.000308050391213168 -0.00143966783758967 0.000358592366170082 -0.00055508219611621 -0.000525245145789137 0.000539891615251621 0.000796415166034778 0.00132932862801324 -0.00076102048261961 -0.0007571236786394 0.000490238760167065 -0.00083484385740353 -0.000194043712305051 2.2698019622347e-05 5.80181929608192e-05 -9.59607042200529e-05 0.000166959838413617 -0.000319897060474792 -0.000410663491080729 0.000255511502311118 7.40862338300649e-06 0.000198852654051489 0.000236346665597166 0.000120538639385961 0.0001422738992452 1.45063713237244e-05 0.000102333006015409 3.56224766115882e-05 0.000109228000809749 -1.78309399620578e-05 3.68797047265228e-05 0.00022209672547369 3.70963578200023e-05 4.70815240677189e-05 3.27521097766119e-06 1.85314829436456e-05 -2.94209101525666e-15 "129P2/OlaHsd" "Inbred" "domesticus"
"129S1/SvImJ LB3888089" -10.5145232712864 -0.435433922415676 -0.591266040835442 -0.756116392589901 -0.144715795058961 0.0886064454906592 0.00764439314879191 -0.183013990946854 -0.0218968034164431 0.038540305062196 -0.00520725520269921 0.0605093279380456 0.00670006298502006 -0.0699348744777342 0.0321806691971463 0.00789804571641707 0.0158242007553983 0.0365704685232622 -0.050376989889052 -0.00409209207730373 0.0306907408137862 -0.0300502249942416 -0.0079466136659655 0.00010541294849157 -0.00618341394565065 -0.00220661483738651 0.00948817262941692 0.0212227304722973 -0.00730463773026632 -0.0179667791917436 -0.00899576377596648 0.00256454681257714 -0.00245830611795676 0.00614996468144366 -0.00465815708332678 0.0019780205005127 -0.00474175426602621 -0.00230600542319274 0.00768791715504488 0.000199247250641701 0.000261422833137431 -0.00519788302670663 -0.00261210940659184 -0.00425048590857781 0.000564231810777291 -0.00231280294308822 0.0013844367680008 -0.000935743256915696 0.00039437629125554 -0.00114410381727879 0.00294242984903603 0.0017225301611998 0.00315001491551548 -0.000167355522826422 0.0012163752343997 0.000825720090222595 -0.00164268812774743 -0.000177598328925131 0.000545716906744986 0.000331284813996822 0.00205836568958882 0.000235789352096933 0.000362080039363027 0.0007846281238948 -0.000440655014872039 0.000151987586431614 0.000943147748813506 0.000162914806267768 0.000150591460014143 3.15973360605541e-05 0.00011655997021446 -0.000372309877416307 -9.00960390643746e-05 -0.00118416433700981 0.000852520332355227 -0.000226415857685566 -0.000351514584646868 -0.000153703449692351 0.000123512381304139 -0.00114337355539053 0.000573298263451302 0.000283870966830344 0.00116898374980858 0.00032565070331448 -0.00166890567143531 -4.85722573273506e-16 "129S1/SvImJ" "Inbred" "domesticus"
"129S1/SvImJ LB4505687" -10.6902104578875 -0.303632592721935 -0.564774686078669 -0.833281295460899 -0.126167281587864 0.139201215436455 -0.0379303509834286 -0.161130253348774 -0.0267630293866865 0.0151226743362142 0.00274608613775719 0.0708536106446661 0.0354544797840454 -0.0917973289724431 0.0286288661373147 -0.01464269410027 0.0210254057157347 0.0352439668932686 -0.00428472535306456 0.00982738784870374 0.0236996387751749 -0.030632970993705 -0.0145021964111191 -0.00634129527358755 -0.00416966197126058 -0.000315080161980008 0.0115775649510557 0.0194435028666288 -0.00960664979739418 -0.0221515769496627 0.00221851860068101 -0.007446838474251 -0.000692136494530385 0.00826627129711384 -0.00290669696212853 0.00167460728719553 -0.00706304104576341 -0.00264009675209858 0.00322363501673947 0.00580481910868588 -0.00257330199832315 -0.00622262024552423 -0.00163062606894055 -0.00411930173780242 0.00172275504538017 -0.00361325544263982 0.00166633185604407 -0.00384734499621784 -0.000727161054148386 -0.00174241854408747 0.00079312168334889 -0.000133658467480098 0.00426748073962047 -0.00111290102848682 0.000142767444509341 0.00134728670517827 -0.00079367848839863 -0.00019359703962827 -0.000405737262492267 -0.000922204126514017 0.000707671718120711 -0.00179281491070804 0.000309870827441494 0.00100031036993582 0.000221163431298872 -7.35316032045609e-05 -0.000475389623822518 0.00113189038656131 -0.000165649856575224 -0.000182018475956498 -0.000214813007336001 -0.000497643637798806 0.000392144360402219 -8.96734782408117e-05 0.000109543946813448 0.000232722484040987 0.000416862307416485 0.00023290912999837 -0.000254452127602254 0.00100189104056281 -0.000398138956936092 -0.000451521018825937 -0.0013430597120857 -0.000314725787453861 0.00155672832315139 -3.47638584585752e-15 "129S1/SvImJ" "Inbred" "domesticus"
"129S5SvEvBrd NO PCR" 5.41366292692621 -0.865306665891702 -1.38754361761397 -1.0134284895577 0.2206854587003 -0.18371117354141 -0.417746830300932 0.195781481039584 0.00882748113612431 -0.113777795710938 -0.179024548559183 -0.18537830741596 -0.157273921880598 -0.0368362891144164 0.0731561287601926 -0.0205392269612887 -0.059180178783202 0.00187898450640883 0.0704367256374323 -0.0482141360995423 0.024307269342768 -0.01756030583426 0.0229135595966975 -0.0112747492849962 -0.00638794424006246 0.00671814018003818 0.0053879796788218 0.0120737008677295 0.0271848277549784 0.0107437450606542 0.000575875790188821 0.010494258411557 -0.0211097525354499 0.0087258756884838 -0.00289797946506887 0.000682769801011307 0.00965317803686481 0.00446146920371798 8.91701469484807e-05 -0.000419752534179967 -0.00237718426238104 -0.00322149081677242 -0.000486872057056047 -0.00122243604633749 -0.00164647917019667 -0.00419367181715578 -0.00101212192238404 -0.00156154393484932 -0.000863223510215289 -0.00115848533167253 -0.000582560609162335 0.00256360504804296 -7.0415377699749e-05 0.00210175447988285 -0.000557125916146432 0.00115580720952477 0.00169976094660304 -0.000684885275830445 8.06526278688754e-05 -0.000887978798945879 -0.000141512563669491 0.000767526610732006 0.000148255564964173 -0.000414835154154761 -0.00106323432192127 -0.000951173495070387 -0.00012773928665788 -0.000533634047452214 0.000521822414582082 -0.000427716741132903 -0.000648969055625982 -0.000110049216655819 -0.000454447771947142 8.54767230035088e-05 -0.000184037890842186 0.000600218459032896 -0.000170739493503831 -7.91363775660137e-05 -1.26713591734814e-05 0.000177114317699616 0.000218261232273448 -5.60550351763334e-05 -4.26882234115314e-05 4.53604270953673e-06 2.03665807388606e-05 -2.45636844198316e-15 "129S5SvEvBrd" "Inbred" "domesticus"
"129S5SvEvBrd SLX300DSS" -6.12673160226804 -1.16172523521918 -0.972531983761612 -0.484126955506484 -0.129008174339137 -0.573449151488084 0.0132716454791411 0.00170106404273261 0.0771532749163088 0.0916152135311434 -0.434018257089375 0.079716648977255 -0.0394808887598285 0.0530151031074026 0.0309298117608199 0.102341552318816 0.047902431773373 -0.0300774253003473 -0.0424679266921724 0.0502251966086798 0.00588992013907753 -0.0103619993244485 0.004154696872904 0.0195704692415817 0.00644315697405198 -0.0239160642038296 -0.00329958103203251 -0.0222165180151682 -0.00597497301643776 0.00113744908507333 0.00413185195369201 -0.010724729354924 -0.0111630159229924 0.00127597497183325 0.0147717598393543 -0.00247102784977017 -0.000786864239443267 0.000746393293509305 -0.00573049612541245 -0.00397595452037585 -0.00137073659671874 0.0011434398781502 -0.0012704181916351 0.0038533386198292 0.00070260823351501 0.00174524196047422 0.00371437665811332 -0.000360186806225356 0.000407384316912858 1.49258795344165e-06 0.000737045274799312 -0.00214222815361781 -0.000350275936729066 -0.00119554703490824 -0.00187504919351532 0.00057553666549889 -0.0002624087367743 -0.000307014334398611 0.000580120344763752 -0.00111104130610076 -0.000351985502668484 -0.0020185839604027 -0.000272490755304625 -0.000613085037754981 0.000908146776624361 3.20988638437799e-05 -5.71895948763609e-06 0.00021354968498572 0.000295499476554759 0.000548916259804518 -0.000705370465523516 5.03445236481985e-05 0.000431619340431098 -0.000275829089043843 0.000614586524312979 -0.00021191356791488 -0.000158447339349906 -0.000115650752883698 -0.00014404738002659 -0.000102085701364784 -0.00032475009955512 -2.53225306681231e-05 4.56825001972682e-05 -4.6517524354809e-05 -1.40323447788901e-06 -3.44169137633799e-15 "129S5SvEvBrd" "Inbred" "domesticus"
"129S5SvEvBrd SLX500DSS" -7.30202941937078 -0.514213525010217 -0.738762274300838 -0.811004564821248 0.00920286931936001 -0.285526705802257 -0.218062223243463 -0.0229556022789989 -0.150896492587759 -0.138089423374293 -0.126742956240148 0.0667012185003675 0.200685747320686 -0.0182216270259237 -0.059674641785101 0.0868377076411409 -0.0133235497058503 0.0848573500533764 0.0684980431496199 -0.0598612268719293 -0.0583964892555344 -0.00855846346088366 -0.0404497661351187 -0.00805232509546207 -0.0151522944391467 0.0277645660368432 -0.0142527683586449 -0.00897414901251007 -0.0100666396123967 0.00528851894092711 -0.000535906502207389 0.0039048590494199 -0.0127161570482953 -0.00829980207953078 -0.00360150292296114 -0.00300321286519483 -0.00265710546617497 0.000526341093995172 0.00450759084443412 0.00340981856363692 0.00381347471563705 -0.00127992963415793 -0.00233878641729326 0.00183913607378274 0.000238449063561482 -9.47843392453268e-05 -0.000848161115376152 0.00522339975140761 -0.000173197244297199 0.00256810617769971 -0.00102744331829785 0.00100194911686309 -0.00109458233811265 -0.00115573121231674 0.0013266707473494 -0.000144639809650807 -0.00049529096986561 0.000965451046397449 -0.00100231877428343 0.00116280384667419 0.000401631753063088 0.000540358855882692 5.0529736296101e-05 -1.53104987655299e-05 -0.000577838871554333 0.000339670405359052 0.000475595324307789 -5.84338320257288e-05 -0.000169668301063523 -0.000323136786060439 0.000137908557635034 2.51007912436471e-05 0.000127430037647633 8.35480663985508e-05 -0.000122641734214566 -0.000166860365801457 0.000128786833396793 -7.41338862255449e-05 9.13623175847669e-05 -9.27804245027144e-05 -9.2816980919716e-05 -2.53602777591962e-05 2.74237601849709e-05 2.5543413557684e-06 -7.82883958790059e-06 -3.54577478489659e-15 "129S5SvEvBrd" "Inbred" "domesticus"
"A/J LB4505627" -7.5843063038406 -0.301529724388142 0.497569777529176 -0.0838150359875253 -0.113832388379299 0.130234613753842 0.175906178987149 0.208209636873717 0.0788440351476787 0.163522888315211 0.00532900642318254 -0.149317541115179 0.0433267711869459 0.0521714406699759 0.0193460067275528 0.00283348121666681 -0.0146600553299775 -0.0236131197956274 0.0419537962913342 0.00178720192808988 0.00498985121731959 0.00624663918221587 -0.0153060936907014 -0.000882280090463103 0.0129920719763423 0.00204500370342151 -0.00542662112445357 -0.00354481057924468 -0.00344483069662428 0.0109720213031229 0.00293792032951284 -0.00941123974394477 -0.00483483183388065 0.0065670399156722 -0.0113695947755318 0.00181850741434243 0.00501223553996263 0.00834005518064057 -0.00353787306432344 0.00202593745775716 -0.00050361433488242 0.0031077931455174 -0.00149257188469145 -0.00196078237346964 0.00280439771392001 -0.00072894151496156 -0.00181221187154568 0.000176475959671792 0.00343239458809132 -0.00180896120677506 0.00256545406104954 -0.00462818592092924 0.00168117829884575 -0.000886905000715556 0.00105928376587587 -0.00279310454864623 -0.00275021016846446 0.000796210857345197 -0.00147319017442288 0.0016998071477325 0.00336087263236903 -0.00146574606892154 0.00026494171703316 0.000172941480104449 0.000276663752881417 -0.000519507491029719 0.000850684103282966 0.000352896109259829 -0.00152880555440124 -4.82858714699883e-05 0.000392744859406359 -0.00214112095660543 0.00174498210406985 -0.000412211006790172 0.0021322945470483 0.00016039506794021 0.00254629367838002 0.00162197716488983 -0.000615669205482968 0.00165395707988607 -0.000280383378126671 0.000567319532050539 0.000335158057832142 0.000294198407635796 -0.000235378037970864 -2.43555176027144e-15 "A/J" "Inbred" "domesticus"
