"STRAIN" "SAT.x" "mean.x" "median.x" "sd.x" "SAT.y" "mean.y" "median.y" "sd.y"
"1" "129S1/SvImJ" "MAJOR" 723886.500283271 698950.54820513 122275.87257843 "retic_micronucl_M12" 0.0476666666666667 0.017 0.108947344205923
"2" "A/J" "MAJOR" 263643.689473035 236078.776173047 87852.9944230701 "retic_micronucl_M12" 0.063 0.063 0.015556349186104
"3" "BALB/cJ" "MAJOR" 259855.749129637 259986.182079337 61956.3452508667 NA NA NA NA
"4" "BTBR T<+>Itpr3<tf>/J" "MAJOR" 465026.630393005 448161.227262247 85999.1896387426 NA NA NA NA
"5" "BUB/BnJ" "MAJOR" 605522.345306052 601381.43481301 92151.9870834148 "retic_micronucl_M12" 0.0187777777777778 0.021 0.00821245666316995
"6" "C3H/HeJ" "MAJOR" 426511.850445454 411919.681003592 70371.8581211258 "retic_micronucl_M12" 0.0218 0.023 0.00822800097228968
"7" "C57BL/10J" "MAJOR" 288077.92282026 282920.307833403 45613.2975444424 "retic_micronucl_M12" 0.0274 0.027 0.0108305124532498
"8" "C57BL/6J" NA NA NA NA "retic_micronucl_M12" 0.0215 0.011 0.02906575617145
"9" "C57BL/6NJ" "MAJOR" 440558.761809955 431018.880594238 119751.787300494 NA NA NA NA
"10" "C57BR/cdJ" "MAJOR" 824808.114920479 801451.150143639 157743.497071358 "retic_micronucl_M12" 0.0264615384615385 0.026 0.0153981350852161
"11" "C57L/J" "MAJOR" 901148.282285496 863015.306704964 179022.093729087 "retic_micronucl_M12" 0.0237 0.0275 0.0105940234723798
"12" "C58/J" "MAJOR" 476341.986219997 463542.045606514 95884.7821288501 NA NA NA NA
"13" "CAST/EiJ" "MAJOR" 376452.852637038 401585.414214008 199247.068809192 NA NA NA NA
"14" "CBA/J" "MAJOR" 366646.37435514 362666.296679819 172010.98169549 "retic_micronucl_M12" 0.0198333333333333 0.019 0.00770871211190575
"15" "DBA/1J" "MAJOR" 810012.836860806 790680.274536586 155926.604542296 NA NA NA NA
"16" "DBA/2J" "MAJOR" 590439.587689369 571062.879402804 162448.95596405 "retic_micronucl_M12" 0.00944444444444444 0.009 0.00304594448041618
"17" "FVB/NJ" "MAJOR" 260569.676998408 302674.86014259 128705.968480071 "retic_micronucl_M12" 0.0754545454545455 0.065 0.0743684928398628
"18" "I/LnJ" "MAJOR" 666223.705900261 662305.436025577 105648.085448996 NA NA NA NA
"19" "KK/HiJ" "MAJOR" 1175750.80088255 1145978.39939491 224095.045831005 NA NA NA NA
"20" "LP/J" "MAJOR" 446440.559576085 348051.489700182 308078.640332106 "retic_micronucl_M12" 0.02 0.0205 0.00709124208342335
"21" "NOD/ShiLtJ" "MAJOR" 667309.768174705 617056.540083979 193046.411100079 NA NA NA NA
"22" "NZB/B1NJ" "MAJOR" 882128.908089216 867396.488123717 139013.97085303 NA NA NA NA
"23" "NZW/LacJ" "MAJOR" 138392.626897351 134438.207945242 25213.1288157855 "retic_micronucl_M12" 0.0818 0.072 0.06534489693584
"24" "PWK/PhJ" "MAJOR" 411137.362541848 400520.168232831 119943.857497756 NA NA NA NA
"25" "RF/J" "MAJOR" 499298.638122046 490249.412129749 86198.3433549187 NA NA NA NA
"26" "SEA/GnJ" "MAJOR" 656630.670893072 637200.470124614 164171.088139743 NA NA NA NA
"27" "ST/bJ" "MAJOR" 1047369.09210817 1042567.44229684 156060.593298305 NA NA NA NA
"28" "WSB/EiJ" "MAJOR" 556549.833801848 539449.838437553 148523.941863774 "retic_micronucl_M12" 0.0163333333333333 0.0155 0.0116098182064957
