"STRAIN" "SAT.x" "mean.x" "median.x" "sd.x" "SAT.y" "mean.y" "median.y" "sd.y"
"1" "129S1/SvImJ" "MINOR" 65370.4036169699 65270.5148186154 18705.480625982 "retic_micronucl_M12" 0.0476666666666667 0.017 0.108947344205923
"2" "A/J" "MINOR" 53790.1680341361 50983.9853630677 17236.6873673241 "retic_micronucl_M12" 0.063 0.063 0.015556349186104
"3" "BALB/cJ" "MINOR" 28977.8731385097 27600.7002340435 8024.16071741938 NA NA NA NA
"4" "BTBR T<+>Itpr3<tf>/J" "MINOR" 69969.4077585159 64418.9935276666 19632.0914251855 NA NA NA NA
"5" "BUB/BnJ" "MINOR" 67504.6777133039 65567.0947902922 17131.7506315741 "retic_micronucl_M12" 0.0187777777777778 0.021 0.00821245666316995
"6" "C3H/HeJ" "MINOR" 61987.3211554151 62621.3072255047 17531.9771257805 "retic_micronucl_M12" 0.0218 0.023 0.00822800097228968
"7" "C57BL/10J" "MINOR" 29068.2906313513 27389.8105624047 7580.53751289086 "retic_micronucl_M12" 0.0274 0.027 0.0108305124532498
"8" "C57BL/6J" NA NA NA NA "retic_micronucl_M12" 0.0215 0.011 0.02906575617145
"9" "C57BL/6NJ" "MINOR" 45185.298158007 41607.9085748099 12959.2181677947 NA NA NA NA
"10" "C57BR/cdJ" "MINOR" 100175.818579746 99114.1532726774 27013.2245932328 "retic_micronucl_M12" 0.0264615384615385 0.026 0.0153981350852161
"11" "C57L/J" "MINOR" 104222.926993521 103905.246230093 28053.6927914947 "retic_micronucl_M12" 0.0237 0.0275 0.0105940234723798
"12" "C58/J" "MINOR" 56166.0990392248 53312.5437557962 15690.5432192009 NA NA NA NA
"13" "CAST/EiJ" "MINOR" 29491.5720474541 27476.9269217134 20889.3763833592 NA NA NA NA
"14" "CBA/J" "MINOR" 69420.9168039515 61764.5655611172 35081.4679008212 "retic_micronucl_M12" 0.0198333333333333 0.019 0.00770871211190575
"15" "DBA/1J" "MINOR" 180481.724270143 182537.777805181 47925.2513296627 NA NA NA NA
"16" "DBA/2J" "MINOR" 85505.9697631245 83713.8451317056 21723.4453153622 "retic_micronucl_M12" 0.00944444444444444 0.009 0.00304594448041618
"17" "FVB/NJ" "MINOR" 15903.4403275824 10841.8671554691 11241.985533616 "retic_micronucl_M12" 0.0754545454545455 0.065 0.0743684928398628
"18" "I/LnJ" "MINOR" 50990.438576737 50391.3707323173 11579.1748772177 NA NA NA NA
"19" "KK/HiJ" "MINOR" 190564.637735905 191911.751785004 52006.2694023353 NA NA NA NA
"20" "LP/J" "MINOR" 53743.191654888 42841.27133364 34064.011986452 "retic_micronucl_M12" 0.02 0.0205 0.00709124208342335
"21" "NOD/ShiLtJ" "MINOR" 47670.0697546175 29493.8882689056 42988.7080140589 NA NA NA NA
"22" "NZB/B1NJ" "MINOR" 112749.944022779 113509.499884811 28474.9206610663 NA NA NA NA
"23" "NZW/LacJ" "MINOR" 34382.0250809068 33576.9838691239 7888.08290544367 "retic_micronucl_M12" 0.0818 0.072 0.06534489693584
"24" "PWK/PhJ" "MINOR" 235402.777395707 260216.627673852 119937.099102624 NA NA NA NA
"25" "RF/J" "MINOR" 49617.9648023538 52924.0088666404 14545.6615520758 NA NA NA NA
"26" "SEA/GnJ" "MINOR" 65987.7110872264 62689.9709846515 20095.874709533 NA NA NA NA
"27" "ST/bJ" "MINOR" 110941.664966456 104270.658872075 29284.1141124211 NA NA NA NA
"28" "WSB/EiJ" "MINOR" 63198.8612186063 59027.89408753 16256.1757730535 "retic_micronucl_M12" 0.0163333333333333 0.0155 0.0116098182064957
